coordinates,color_r,color_g,color_b,color_a
"[(220.8585229312, 163.4914438144001), (206.68513085440003, 171.97400422400005), (193.4070746408188, 159.28072097412405), (202.0987164207234, 145.90269969570647)]",0.0,0.0,0.0,0.0
"[(200.96969233467462, 144.27570863423148), (191.57443139200097, 158.79232432395236), (177.20789042986246, 151.6864398515121), (182.82345550907507, 134.50465803583165)]",0.0,0.0,0.0,0.0
"[(160.27487720507565, 128.16958127423186), (157.8036087917693, 146.8269619631833), (141.80651783227614, 146.3158180998314), (139.44428581947625, 127.84745872703184)]",0.0,0.0,0.0,0.0
"[(137.29680217147626, 128.8138263686319), (139.62555893945864, 146.93584319024308), (124.79694118834942, 149.66661901766292), (116.68095915067681, 133.96778712383173)]",0.0,0.0,0.0,0.0
"[(116.16718885081343, 136.821609669875), (122.22471460716957, 151.38057400743787), (109.10949167879193, 159.40194923352283), (98.62247597399062, 147.29828447201965)]",0.0,0.0,0.0,0.0
"[(97.39320352452017, 147.48821172380678), (107.2493714896051, 161.10993545199563), (99.70390402499294, 172.92097959254795), (83.55650385738693, 162.84150200833233)]",0.0,0.0,0.0,0.0
"[(240.61537249280002, 155.54575431680018), (223.20679746217127, 163.65950431742488), (211.64561360896028, 150.60725495808015), (224.74526386176024, 136.54123706368011)]",0.0,0.0,0.0,0.0
"[(223.02727694336022, 135.25274687488013), (210.67924596736026, 149.31876476928005), (198.43858917376025, 139.86983671808014), (207.88751722496028, 123.65633517568017)]",0.0,0.0,0.0,0.0
"[(206.0688691144677, 122.8559758444585), (197.63145648499727, 137.74471377722512), (182.16236729407956, 131.47290136899585), (187.08702690095583, 115.16355376387355)]",0.0,0.0,0.0,0.0
"[(185.15859669915397, 115.71503335365867), (180.46122349627512, 130.63918746943182), (163.5270860053842, 126.89648205153992), (166.7284234584833, 112.17237287445437)]",0.0,0.0,0.0,0.0
"[(165.10671541307556, 111.0970862726324), (161.56336739387564, 126.02209762623193), (145.13511748667605, 124.84098161983206), (144.49087239227612, 109.27172517183237)]",0.0,0.0,0.0,0.0
"[(142.7559229955188, 109.7989449349468), (143.2836628373729, 125.62807996921265), (127.76155114045145, 128.8568589949407), (123.66028100667666, 112.27820227903226)]",0.0,0.0,0.0,0.0
"[(122.23592155931004, 112.94450260243661), (126.00848242858018, 128.76166029110163), (109.63951629637239, 134.0590549377547), (102.91350491451863, 121.1077278903565)]",0.0,0.0,0.0,0.0
"[(100.60819116467337, 121.88693257793489), (109.26377759471427, 135.5518751892905), (95.05546950232275, 144.41681980480496), (85.13337216383013, 131.49937150367896)]",0.0,0.0,0.0,0.0
"[(83.64743722435327, 131.9751773115887), (94.90025153987307, 147.09346219350846), (84.76412872131323, 158.00267912534832), (70.24713926083348, 146.74986480982852)]",0.0,0.0,0.0,0.0
"[(205.19363635199994, 172.83803084800024), (188.95329126399992, 182.7701427200002), (186.5076584919089, 180.39880755800198), (198.52527201640106, 167.69661556711117)]",0.0,0.0,0.0,0.0
"[(197.96321522747468, 166.07266766143084), (184.86356497467506, 179.38706627903048), (171.75661765859087, 171.26377477266624), (179.70960421947518, 154.58363014463112)]",0.0,0.0,0.0,0.0
"[(177.45474638907524, 153.61726250303127), (170.06301141694945, 171.09887014163291), (155.73215737869737, 167.6223516922173), (158.12739355707572, 148.67805011263135)]",0.0,0.0,0.0,0.0
"[(155.5504131794758, 148.46330174783134), (153.995660313776, 167.24504239777843), (139.03557687645997, 168.96811103050914), (134.61244761147634, 149.75179193663132)]",0.0,0.0,0.0,0.0
"[(132.1401949299124, 150.9368237231222), (137.83367308347624, 170.0455124102308), (122.96918479551732, 174.86298862456647), (112.54647948728052, 160.42761488079623)]",0.0,0.0,0.0,0.0
"[(110.62355520890617, 162.0036978090476), (121.28315812173622, 175.3321691196644), (114.23858124800012, 184.04772771839998), (101.2463051776001, 173.3103094784001)]",0.0,0.0,0.0,0.0
"[(262.91086004983515, 148.94777398090946), (242.75075001339053, 155.90480728039597), (232.58357917696026, 143.19843637248005), (248.15283562496018, 131.06515376128004)]",0.0,0.0,0.0,0.0
"[(245.98408161279997, 128.91695708160012), (232.47620499456025, 140.8362043596801), (219.32220565876594, 129.95306905649977), (230.2213471641602, 115.92539404288004)]",0.0,0.0,0.0,0.0
"[(227.9690882223549, 115.61008239397415), (218.5921285010852, 127.27242698878524), (204.30846000764666, 120.03758239276272), (212.57197442514712, 105.01363110970135)]",0.0,0.0,0.0,0.0
"[(210.37460842496023, 103.70075424768015), (203.17905629948882, 118.55432679548505), (187.2672951834835, 113.22050449611538), (191.90093390807692, 95.64797452046423)]",0.0,0.0,0.0,0.0
