polygon_id,box_name,coordinates,color_r,color_g,color_b,color_a,area
0,A1,"[[220.8585229312, 163.4914438144001], [206.68513085440003, 171.9740042240001], [193.4070746408188, 159.28072097412405], [202.0987164207234, 145.90269969570647], [220.8585229312, 163.4914438144001]]",0.0,0.0,0.0,0.0,348.1914740551903
1,A1,"[[200.96969233467462, 144.27570863423148], [191.57443139200097, 158.79232432395236], [177.20789042986246, 151.6864398515121], [182.82345550907507, 134.5046580358317], [200.96969233467462, 144.27570863423148]]",0.0,0.0,0.0,0.0,320.984922612888
2,A1,"[[160.27487720507565, 128.16958127423192], [157.8036087917693, 146.82696196318335], [141.80651783227614, 146.3158180998314], [139.44428581947625, 127.84745872703189], [160.27487720507565, 128.16958127423192]]",0.0,0.0,0.0,0.0,341.8364545476777
3,A1,"[[137.29680217147626, 128.81382636863185], [139.62555893945864, 146.93584319024313], [124.79694118834942, 149.66661901766298], [116.68095915067681, 133.96778712383173], [137.29680217147626, 128.81382636863185]]",0.0,0.0,0.0,0.0,320.27893993100406
4,A1,"[[116.16718885081343, 136.82160966987504], [122.22471460716957, 151.38057400743787], [109.10949167879193, 159.40194923352277], [98.62247597399062, 147.29828447201965], [116.16718885081343, 136.82160966987504]]",0.0,0.0,0.0,0.0,280.87906305445995
5,A1,"[[97.39320352452017, 147.48821172380678], [107.2493714896051, 161.10993545199568], [99.70390402499294, 172.92097959254795], [83.55650385738693, 162.84150200833227], [97.39320352452017, 147.48821172380678]]",0.0,0.0,0.0,0.0,303.2881671716723
6,A1,"[[240.61537249280002, 155.54575431680013], [223.20679746217127, 163.65950431742488], [211.64561360896028, 150.60725495808015], [224.74526386176024, 136.54123706368011], [240.61537249280002, 155.54575431680013]]",0.0,0.0,0.0,0.0,396.60368950814757
7,A1,"[[223.02727694336022, 135.25274687488007], [210.67924596736026, 149.3187647692801], [198.43858917376025, 139.86983671808014], [207.88751722496028, 123.65633517568011], [223.02727694336022, 135.25274687488007]]",0.0,0.0,0.0,0.0,321.9475655539386
8,A1,"[[206.0688691144677, 122.85597584445844], [197.63145648499727, 137.74471377722512], [182.16236729407956, 131.47290136899585], [187.08702690095583, 115.16355376387361], [206.0688691144677, 122.85597584445844]]",0.0,0.0,0.0,0.0,315.34855369503885
9,A1,"[[185.15859669915397, 115.71503335365867], [180.46122349627512, 130.63918746943182], [163.5270860053842, 126.89648205153992], [166.7284234584833, 112.17237287445431], [185.15859669915397, 115.71503335365867]]",0.0,0.0,0.0,0.0,276.5088482459753
10,A1,"[[165.10671541307556, 111.09708627263234], [161.56336739387564, 126.02209762623193], [145.13511748667605, 124.84098161983201], [144.49087239227612, 109.27172517183237], [165.10671541307556, 111.09708627263234]]",0.0,0.0,0.0,0.0,284.5871441971394
11,A1,"[[142.7559229955188, 109.79894493494675], [143.2836628373729, 125.6280799692127], [127.76155114045145, 128.8568589949407], [123.66028100667666, 112.27820227903231], [142.7559229955188, 109.79894493494675]]",0.0,0.0,0.0,0.0,287.0768774010441
12,A1,"[[122.23592155931004, 112.94450260243667], [126.00848242858018, 128.76166029110158], [109.63951629637239, 134.0590549377547], [102.91350491451863, 121.10772789035644], [122.23592155931004, 112.94450260243667]]",0.0,0.0,0.0,0.0,292.02607288928033
13,A1,"[[100.60819116467337, 121.88693257793483], [109.26377759471427, 135.5518751892905], [95.05546950232275, 144.41681980480496], [85.13337216383013, 131.49937150367896], [100.60819116467337, 121.88693257793483]]",0.0,0.0,0.0,0.0,283.07886904916256
14,A1,"[[83.64743722435327, 131.9751773115887], [94.90025153987307, 147.09346219350846], [84.76412872131323, 158.00267912534827], [70.24713926083348, 146.74986480982847], [83.64743722435327, 131.9751773115887]]",0.0,0.0,0.0,0.0,320.6376161403939
15,A1,"[[205.19363635199994, 172.8380308480002], [188.95329126399992, 182.7701427200002], [186.5076584919089, 180.39880755800198], [198.52527201640106, 167.69661556711117], [205.19363635199994, 172.8380308480002]]",0.0,0.0,0.0,0.0,104.64599275551278
16,A1,"[[197.96321522747468, 166.0726676614309], [184.86356497467506, 179.38706627903053], [171.75661765859087, 171.26377477266618], [179.70960421947518, 154.58363014463117], [197.96321522747468, 166.0726676614309]]",0.0,0.0,0.0,0.0,338.3842157135304
17,A1,"[[177.45474638907524, 153.6172625030312], [170.06301141694945, 171.09887014163291], [155.73215737869737, 167.62235169221736], [158.12739355707572, 148.67805011263135], [177.45474638907524, 153.6172625030312]]",0.0,0.0,0.0,0.0,327.0988257106121
18,A1,"[[155.5504131794758, 148.46330174783134], [153.995660313776, 167.2450423977785], [139.03557687645997, 168.96811103050914], [134.61244761147634, 149.75179193663132], [155.5504131794758, 148.46330174783134]]",0.0,0.0,0.0,0.0,343.17362375986704
19,A1,"[[132.1401949299124, 150.93682372312225], [137.83367308347624, 170.0455124102308], [122.96918479551732, 174.8629886245664], [112.54647948728052, 160.42761488079617], [132.1401949299124, 150.93682372312225]]",0.0,0.0,0.0,0.0,346.61569979567014
20,A1,"[[110.62355520890617, 162.0036978090476], [121.28315812173622, 175.3321691196644], [114.23858124800012, 184.04772771840004], [101.2463051776001, 173.31030947840003], [110.62355520890617, 162.0036978090476]]",0.0,0.0,0.0,0.0,217.19195516963464
21,A1,"[[262.91086004983515, 148.94777398090952], [242.75075001339053, 155.90480728039591], [232.58357917696026, 143.1984363724801], [248.15283562496018, 131.0651537612801], [262.91086004983515, 148.94777398090952]]",0.0,0.0,0.0,0.0,392.1887815148367
22,A1,"[[245.98408161279997, 128.91695708160012], [232.47620499456025, 140.83620435968015], [219.32220565876594, 129.95306905649983], [230.2213471641602, 115.9253940428801], [245.98408161279997, 128.91695708160012]]",0.0,0.0,0.0,0.0,333.252609890384
23,A1,"[[227.9690882223549, 115.61008239397421], [218.5921285010852, 127.27242698878524], [204.30846000764666, 120.03758239276266], [212.57197442514712, 105.01363110970135], [227.9690882223549, 115.61008239397421]]",0.0,0.0,0.0,0.0,276.65566298300314
24,A1,"[[210.37460842496023, 103.70075424768015], [203.17905629948882, 118.55432679548505], [187.2672951834835, 113.22050449611544], [191.90093390807692, 95.64797452046417], [210.37460842496023, 103.70075424768015]]",0.0,0.0,0.0,0.0,318.3345828380238
25,A1,"[[189.9918688396719, 97.25635997220934], [185.24449604507396, 114.16884512709868], [169.095419012114, 110.38927390661866], [171.21754502607286, 91.17555493019773], [189.9918688396719, 97.25635997220934]]",0.0,0.0,0.0,0.0,332.34643773236786
26,A1,"[[169.7630312712347, 90.89567082084403], [167.20563340187402, 109.95977717701868], [149.6821668341941, 108.15589091269868], [149.6821668341941, 90.03112892357876], [169.7630312712347, 90.89567082084403]]",0.0,0.0,0.0,0.0,351.3216868606024
27,A1,"[[147.633703857088, 89.71273864376474], [147.48272108214007, 107.62050234329695], [131.31213746640816, 108.1722195870376], [129.55447087001193, 90.09770977315713], [147.633703857088, 89.71273864376474]]",0.0,0.0,0.0,0.0,308.47280771032774
28,A1,"[[126.45842484880075, 91.71153789095018], [129.73036602267427, 109.01689763781866], [114.35438310299435, 113.14006624197862], [108.25552954267437, 96.8191905171787], [126.45842484880075, 91.71153789095018]]",0.0,0.0,0.0,0.0,303.9078492683619
29,A1,"[[106.72463352563716, 98.07286378618574], [112.33466108480275, 113.00378769705759], [97.5901560236216, 120.70191484787932], [88.80694458668182, 106.80151287435308], [106.72463352563716, 98.07286378618574]]",0.0,0.0,0.0,0.0,294.53221891517046
30,A1,"[[86.55596864861974, 107.55883424763613], [95.7209862564024, 121.08674391760093], [82.30694439753523, 131.09229973036253], [71.31834908907501, 117.85912089931628], [86.55596864861974, 107.55883424763613]]",0.0,0.0,0.0,0.0,293.9964339714227
31,A1,"[[69.35775275040811, 117.91390812501123], [80.87757928142645, 133.29132298591452], [70.37724323616567, 144.50634158922963], [55.35697305136296, 132.82413434058253], [69.35775275040811, 117.91390812501123]]",0.0,0.0,0.0,0.0,339.0893643802556
